"label","n","parent","id"
"Bulgaria",17,"total  -  Documentary","total  -  Documentary  -  Bulgaria"
"Bulgaria",316,"total  -  Drama","total  -  Drama  -  Bulgaria"
"Bulgaria",28,"total  -  Family","total  -  Family  -  Bulgaria"
"Bulgaria",55,"total  -  Fantasy","total  -  Fantasy  -  Bulgaria"
"Bulgaria",10,"total  -  Game Show","total  -  Game Show  -  Bulgaria"
"Bulgaria",4,"total  -  History","total  -  History  -  Bulgaria"
"Bulgaria",32,"total  -  Horror","total  -  Horror  -  Bulgaria"
"Bulgaria",3,"total  -  Music","total  -  Music  -  Bulgaria"
"Bulgaria",1,"total  -  Musical","total  -  Musical  -  Bulgaria"
"Bulgaria",42,"total  -  Mystery","total  -  Mystery  -  Bulgaria"
"Bulgaria",14,"total  -  Reality TV","total  -  Reality TV  -  Bulgaria"
"Bulgaria",99,"total  -  Romance","total  -  Romance  -  Bulgaria"
"Bulgaria",38,"total  -  Sci Fi","total  -  Sci Fi  -  Bulgaria"
"Bulgaria",8,"total  -  Sport","total  -  Sport  -  Bulgaria"
"Bulgaria",1,"total  -  Talk Show","total  -  Talk Show  -  Bulgaria"
"Bulgaria",61,"total  -  Thriller","total  -  Thriller  -  Bulgaria"
"Bulgaria",3,"total  -  War","total  -  War  -  Bulgaria"
"Bulgaria",10,"total  -  Western","total  -  Western  -  Bulgaria"
"Canada",172,"total  -  Action","total  -  Action  -  Canada"
"Canada",2,"total  -  Adult","total  -  Adult  -  Canada"
"Canada",105,"total  -  Adventure","total  -  Adventure  -  Canada"
"Canada",54,"total  -  Animation","total  -  Animation  -  Canada"
"Canada",20,"total  -  Biography","total  -  Biography  -  Canada"
"Canada",184,"total  -  Comedy","total  -  Comedy  -  Canada"
"Canada",146,"total  -  Crime","total  -  Crime  -  Canada"
"Canada",26,"total  -  Documentary","total  -  Documentary  -  Canada"
"Canada",289,"total  -  Drama","total  -  Drama  -  Canada"
"Canada",25,"total  -  Family","total  -  Family  -  Canada"
"Canada",41,"total  -  Fantasy","total  -  Fantasy  -  Canada"
"Canada",8,"total  -  Game Show","total  -  Game Show  -  Canada"
"Canada",4,"total  -  History","total  -  History  -  Canada"
"Canada",33,"total  -  Horror","total  -  Horror  -  Canada"
"Canada",2,"total  -  Music","total  -  Music  -  Canada"
"Canada",54,"total  -  Mystery","total  -  Mystery  -  Canada"
"Canada",22,"total  -  Reality TV","total  -  Reality TV  -  Canada"
"Canada",76,"total  -  Romance","total  -  Romance  -  Canada"
"Canada",31,"total  -  Sci Fi","total  -  Sci Fi  -  Canada"
"Canada",7,"total  -  Sport","total  -  Sport  -  Canada"
"Canada",2,"total  -  Talk Show","total  -  Talk Show  -  Canada"
"Canada",76,"total  -  Thriller","total  -  Thriller  -  Canada"
"Canada",5,"total  -  War","total  -  War  -  Canada"
"Canada",7,"total  -  Western","total  -  Western  -  Canada"
"Chile",127,"total  -  Action","total  -  Action  -  Chile"
"Chile",1,"total  -  Adult","total  -  Adult  -  Chile"
"Chile",122,"total  -  Adventure","total  -  Adventure  -  Chile"
"Chile",74,"total  -  Animation","total  -  Animation  -  Chile"
"Chile",6,"total  -  Biography","total  -  Biography  -  Chile"
"Chile",205,"total  -  Comedy","total  -  Comedy  -  Chile"
"Chile",103,"total  -  Crime","total  -  Crime  -  Chile"
"Chile",9,"total  -  Documentary","total  -  Documentary  -  Chile"
"Chile",328,"total  -  Drama","total  -  Drama  -  Chile"
"Chile",17,"total  -  Family","total  -  Family  -  Chile"
"Chile",37,"total  -  Fantasy","total  -  Fantasy  -  Chile"
"Chile",4,"total  -  History","total  -  History  -  Chile"
"Chile",28,"total  -  Horror","total  -  Horror  -  Chile"
"Chile",34,"total  -  Music","total  -  Music  -  Chile"
"Chile",1,"total  -  Musical","total  -  Musical  -  Chile"
"Chile",40,"total  -  Mystery","total  -  Mystery  -  Chile"
"Chile",2,"total  -  Reality TV","total  -  Reality TV  -  Chile"
"Chile",124,"total  -  Romance","total  -  Romance  -  Chile"
"Chile",15,"total  -  Sci Fi","total  -  Sci Fi  -  Chile"
"Chile",4,"total  -  Sport","total  -  Sport  -  Chile"
"Chile",68,"total  -  Thriller","total  -  Thriller  -  Chile"
"Chile",3,"total  -  War","total  -  War  -  Chile"
"Chile",5,"total  -  Western","total  -  Western  -  Chile"
"Colombia",138,"total  -  Action","total  -  Action  -  Colombia"
"Colombia",1,"total  -  Adult","total  -  Adult  -  Colombia"
"Colombia",108,"total  -  Adventure","total  -  Adventure  -  Colombia"
"Colombia",61,"total  -  Animation","total  -  Animation  -  Colombia"
"Colombia",8,"total  -  Biography","total  -  Biography  -  Colombia"
"Colombia",197,"total  -  Comedy","total  -  Comedy  -  Colombia"
"Colombia",111,"total  -  Crime","total  -  Crime  -  Colombia"
"Colombia",26,"total  -  Documentary","total  -  Documentary  -  Colombia"
"Colombia",279,"total  -  Drama","total  -  Drama  -  Colombia"
"Colombia",15,"total  -  Family","total  -  Family  -  Colombia"
"Colombia",40,"total  -  Fantasy","total  -  Fantasy  -  Colombia"
"Colombia",2,"total  -  History","total  -  History  -  Colombia"
"Colombia",28,"total  -  Horror","total  -  Horror  -  Colombia"
"Colombia",15,"total  -  Music","total  -  Music  -  Colombia"
"Colombia",5,"total  -  Musical","total  -  Musical  -  Colombia"
"Colombia",42,"total  -  Mystery","total  -  Mystery  -  Colombia"
"Colombia",3,"total  -  Reality TV","total  -  Reality TV  -  Colombia"
"Colombia",113,"total  -  Romance","total  -  Romance  -  Colombia"
"Colombia",14,"total  -  Sci Fi","total  -  Sci Fi  -  Colombia"
"Colombia",3,"total  -  Sport","total  -  Sport  -  Colombia"
"Colombia",80,"total  -  Thriller","total  -  Thriller  -  Colombia"
"Colombia",2,"total  -  War","total  -  War  -  Colombia"
"Colombia",6,"total  -  Western","total  -  Western  -  Colombia"
"Costa Rica",116,"total  -  Action","total  -  Action  -  Costa Rica"
"Costa Rica",1,"total  -  Adult","total  -  Adult  -  Costa Rica"
"Costa Rica",96,"total  -  Adventure","total  -  Adventure  -  Costa Rica"
"Costa Rica",61,"total  -  Animation","total  -  Animation  -  Costa Rica"
"Costa Rica",8,"total  -  Biography","total  -  Biography  -  Costa Rica"
"Costa Rica",210,"total  -  Comedy","total  -  Comedy  -  Costa Rica"
"Costa Rica",100,"total  -  Crime","total  -  Crime  -  Costa Rica"
"Costa Rica",12,"total  -  Documentary","total  -  Documentary  -  Costa Rica"
"Costa Rica",317,"total  -  Drama","total  -  Drama  -  Costa Rica"
"Costa Rica",21,"total  -  Family","total  -  Family  -  Costa Rica"
"Costa Rica",36,"total  -  Fantasy","total  -  Fantasy  -  Costa Rica"
"Costa Rica",1,"total  -  Game Show","total  -  Game Show  -  Costa Rica"
