"parents","n","labels","id"
"Brazil",188,"Adventure","Brazil  -  Adventure"
"Brazil",72,"Animation","Brazil  -  Animation"
"Brazil",9,"Biography","Brazil  -  Biography"
"Brazil",178,"Comedy","Brazil  -  Comedy"
"Brazil",118,"Crime","Brazil  -  Crime"
"Brazil",13,"Documentary","Brazil  -  Documentary"
"Brazil",267,"Drama","Brazil  -  Drama"
"Brazil",74,"Family","Brazil  -  Family"
"Brazil",40,"Fantasy","Brazil  -  Fantasy"
"Brazil",4,"Game Show","Brazil  -  Game Show"
"Brazil",2,"History","Brazil  -  History"
"Brazil",25,"Horror","Brazil  -  Horror"
"Brazil",40,"Music","Brazil  -  Music"
"Brazil",24,"Musical","Brazil  -  Musical"
"Brazil",40,"Mystery","Brazil  -  Mystery"
"Brazil",11,"Reality TV","Brazil  -  Reality TV"
"Brazil",117,"Romance","Brazil  -  Romance"
"Brazil",19,"Sci Fi","Brazil  -  Sci Fi"
"Brazil",3,"Sport","Brazil  -  Sport"
"Brazil",62,"Thriller","Brazil  -  Thriller"
"Brazil",2,"War","Brazil  -  War"
"Brazil",6,"Western","Brazil  -  Western"
"Bulgaria",214,"Action","Bulgaria  -  Action"
"Bulgaria",128,"Adventure","Bulgaria  -  Adventure"
"Bulgaria",49,"Animation","Bulgaria  -  Animation"
"Bulgaria",14,"Biography","Bulgaria  -  Biography"
"Bulgaria",185,"Comedy","Bulgaria  -  Comedy"
"Bulgaria",123,"Crime","Bulgaria  -  Crime"
"Bulgaria",17,"Documentary","Bulgaria  -  Documentary"
"Bulgaria",316,"Drama","Bulgaria  -  Drama"
"Bulgaria",28,"Family","Bulgaria  -  Family"
"Bulgaria",55,"Fantasy","Bulgaria  -  Fantasy"
"Bulgaria",10,"Game Show","Bulgaria  -  Game Show"
"Bulgaria",4,"History","Bulgaria  -  History"
"Bulgaria",32,"Horror","Bulgaria  -  Horror"
"Bulgaria",3,"Music","Bulgaria  -  Music"
"Bulgaria",1,"Musical","Bulgaria  -  Musical"
"Bulgaria",42,"Mystery","Bulgaria  -  Mystery"
"Bulgaria",14,"Reality TV","Bulgaria  -  Reality TV"
"Bulgaria",99,"Romance","Bulgaria  -  Romance"
"Bulgaria",38,"Sci Fi","Bulgaria  -  Sci Fi"
"Bulgaria",8,"Sport","Bulgaria  -  Sport"
"Bulgaria",1,"Talk Show","Bulgaria  -  Talk Show"
"Bulgaria",61,"Thriller","Bulgaria  -  Thriller"
"Bulgaria",3,"War","Bulgaria  -  War"
"Bulgaria",10,"Western","Bulgaria  -  Western"
"Canada",172,"Action","Canada  -  Action"
"Canada",2,"Adult","Canada  -  Adult"
"Canada",105,"Adventure","Canada  -  Adventure"
"Canada",54,"Animation","Canada  -  Animation"
"Canada",20,"Biography","Canada  -  Biography"
"Canada",184,"Comedy","Canada  -  Comedy"
"Canada",146,"Crime","Canada  -  Crime"
"Canada",26,"Documentary","Canada  -  Documentary"
"Canada",289,"Drama","Canada  -  Drama"
"Canada",25,"Family","Canada  -  Family"
"Canada",41,"Fantasy","Canada  -  Fantasy"
"Canada",8,"Game Show","Canada  -  Game Show"
"Canada",4,"History","Canada  -  History"
"Canada",33,"Horror","Canada  -  Horror"
"Canada",2,"Music","Canada  -  Music"
"Canada",54,"Mystery","Canada  -  Mystery"
"Canada",22,"Reality TV","Canada  -  Reality TV"
"Canada",76,"Romance","Canada  -  Romance"
"Canada",31,"Sci Fi","Canada  -  Sci Fi"
"Canada",7,"Sport","Canada  -  Sport"
"Canada",2,"Talk Show","Canada  -  Talk Show"
"Canada",76,"Thriller","Canada  -  Thriller"
"Canada",5,"War","Canada  -  War"
"Canada",7,"Western","Canada  -  Western"
"Chile",127,"Action","Chile  -  Action"
"Chile",1,"Adult","Chile  -  Adult"
"Chile",122,"Adventure","Chile  -  Adventure"
"Chile",74,"Animation","Chile  -  Animation"
"Chile",6,"Biography","Chile  -  Biography"
"Chile",205,"Comedy","Chile  -  Comedy"
"Chile",103,"Crime","Chile  -  Crime"
"Chile",9,"Documentary","Chile  -  Documentary"
"Chile",328,"Drama","Chile  -  Drama"
"Chile",17,"Family","Chile  -  Family"
"Chile",37,"Fantasy","Chile  -  Fantasy"
"Chile",4,"History","Chile  -  History"
"Chile",28,"Horror","Chile  -  Horror"
"Chile",34,"Music","Chile  -  Music"
"Chile",1,"Musical","Chile  -  Musical"
"Chile",40,"Mystery","Chile  -  Mystery"
"Chile",2,"Reality TV","Chile  -  Reality TV"
"Chile",124,"Romance","Chile  -  Romance"
"Chile",15,"Sci Fi","Chile  -  Sci Fi"
"Chile",4,"Sport","Chile  -  Sport"
"Chile",68,"Thriller","Chile  -  Thriller"
"Chile",3,"War","Chile  -  War"
"Chile",5,"Western","Chile  -  Western"
"Colombia",138,"Action","Colombia  -  Action"
"Colombia",1,"Adult","Colombia  -  Adult"
"Colombia",108,"Adventure","Colombia  -  Adventure"
"Colombia",61,"Animation","Colombia  -  Animation"
"Colombia",8,"Biography","Colombia  -  Biography"
"Colombia",197,"Comedy","Colombia  -  Comedy"
"Colombia",111,"Crime","Colombia  -  Crime"
"Colombia",26,"Documentary","Colombia  -  Documentary"
"Colombia",279,"Drama","Colombia  -  Drama"
"Colombia",15,"Family","Colombia  -  Family"
"Colombia",40,"Fantasy","Colombia  -  Fantasy"
"Colombia",2,"History","Colombia  -  History"
"Colombia",28,"Horror","Colombia  -  Horror"
"Colombia",15,"Music","Colombia  -  Music"
"Colombia",5,"Musical","Colombia  -  Musical"
"Colombia",42,"Mystery","Colombia  -  Mystery"
"Colombia",3,"Reality TV","Colombia  -  Reality TV"
"Colombia",113,"Romance","Colombia  -  Romance"
"Colombia",14,"Sci Fi","Colombia  -  Sci Fi"
"Colombia",3,"Sport","Colombia  -  Sport"
"Colombia",80,"Thriller","Colombia  -  Thriller"
"Colombia",2,"War","Colombia  -  War"
"Colombia",6,"Western","Colombia  -  Western"
"Costa Rica",116,"Action","Costa Rica  -  Action"
"Costa Rica",1,"Adult","Costa Rica  -  Adult"
"Costa Rica",96,"Adventure","Costa Rica  -  Adventure"
"Costa Rica",61,"Animation","Costa Rica  -  Animation"
"Costa Rica",8,"Biography","Costa Rica  -  Biography"
"Costa Rica",210,"Comedy","Costa Rica  -  Comedy"
"Costa Rica",100,"Crime","Costa Rica  -  Crime"
"Costa Rica",12,"Documentary","Costa Rica  -  Documentary"
"Costa Rica",317,"Drama","Costa Rica  -  Drama"
"Costa Rica",21,"Family","Costa Rica  -  Family"
"Costa Rica",36,"Fantasy","Costa Rica  -  Fantasy"
"Costa Rica",1,"Game Show","Costa Rica  -  Game Show"
"Costa Rica",2,"History","Costa Rica  -  History"
"Costa Rica",29,"Horror","Costa Rica  -  Horror"
"Costa Rica",31,"Music","Costa Rica  -  Music"
"Costa Rica",1,"Musical","Costa Rica  -  Musical"
"Costa Rica",38,"Mystery","Costa Rica  -  Mystery"
"Costa Rica",4,"Reality TV","Costa Rica  -  Reality TV"
"Costa Rica",132,"Romance","Costa Rica  -  Romance"
"Costa Rica",14,"Sci Fi","Costa Rica  -  Sci Fi"
"Costa Rica",5,"Sport","Costa Rica  -  Sport"
"Costa Rica",76,"Thriller","Costa Rica  -  Thriller"
"Costa Rica",2,"War","Costa Rica  -  War"
"Costa Rica",5,"Western","Costa Rica  -  Western"
"Croatia",171,"Action","Croatia  -  Action"
"Croatia",115,"Adventure","Croatia  -  Adventure"
"Croatia",53,"Animation","Croatia  -  Animation"
"Croatia",11,"Biography","Croatia  -  Biography"
"Croatia",199,"Comedy","Croatia  -  Comedy"
"Croatia",128,"Crime","Croatia  -  Crime"
"Croatia",20,"Documentary","Croatia  -  Documentary"
"Croatia",302,"Drama","Croatia  -  Drama"
"Croatia",27,"Family","Croatia  -  Family"
"Croatia",39,"Fantasy","Croatia  -  Fantasy"
"Croatia",11,"Game Show","Croatia  -  Game Show"
"Croatia",5,"History","Croatia  -  History"
"Croatia",26,"Horror","Croatia  -  Horror"
"Croatia",3,"Music","Croatia  -  Music"
"Croatia",1,"Musical","Croatia  -  Musical"
"Croatia",43,"Mystery","Croatia  -  Mystery"
"Croatia",14,"Reality TV","Croatia  -  Reality TV"
"Croatia",96,"Romance","Croatia  -  Romance"
