"id","n","label","parent"
"total  -  Drama  -  Chile",328,"Chile","total  -  Drama"
"total  -  Fantasy  -  Chile",37,"Chile","total  -  Fantasy"
"total  -  Mystery  -  Chile",40,"Chile","total  -  Mystery"
"total  -  Romance  -  Chile",124,"Chile","total  -  Romance"
"total  -  Thriller  -  Chile",68,"Chile","total  -  Thriller"
"total  -  Action  -  Colombia",138,"Colombia","total  -  Action"
"total  -  Adventure  -  Colombia",108,"Colombia","total  -  Adventure"
"total  -  Animation  -  Colombia",61,"Colombia","total  -  Animation"
"total  -  Comedy  -  Colombia",197,"Colombia","total  -  Comedy"
"total  -  Crime  -  Colombia",111,"Colombia","total  -  Crime"
"total  -  Drama  -  Colombia",279,"Colombia","total  -  Drama"
"total  -  Fantasy  -  Colombia",40,"Colombia","total  -  Fantasy"
"total  -  Mystery  -  Colombia",42,"Colombia","total  -  Mystery"
"total  -  Romance  -  Colombia",113,"Colombia","total  -  Romance"
"total  -  Thriller  -  Colombia",80,"Colombia","total  -  Thriller"
"total  -  Action  -  Costa Rica",116,"Costa Rica","total  -  Action"
"total  -  Adventure  -  Costa Rica",96,"Costa Rica","total  -  Adventure"
"total  -  Animation  -  Costa Rica",61,"Costa Rica","total  -  Animation"
"total  -  Comedy  -  Costa Rica",210,"Costa Rica","total  -  Comedy"
"total  -  Crime  -  Costa Rica",100,"Costa Rica","total  -  Crime"
"total  -  Drama  -  Costa Rica",317,"Costa Rica","total  -  Drama"
"total  -  Fantasy  -  Costa Rica",36,"Costa Rica","total  -  Fantasy"
"total  -  Mystery  -  Costa Rica",38,"Costa Rica","total  -  Mystery"
"total  -  Romance  -  Costa Rica",132,"Costa Rica","total  -  Romance"
"total  -  Thriller  -  Costa Rica",76,"Costa Rica","total  -  Thriller"
"total  -  Action  -  Croatia",171,"Croatia","total  -  Action"
"total  -  Adventure  -  Croatia",115,"Croatia","total  -  Adventure"
"total  -  Animation  -  Croatia",53,"Croatia","total  -  Animation"
"total  -  Comedy  -  Croatia",199,"Croatia","total  -  Comedy"
"total  -  Crime  -  Croatia",128,"Croatia","total  -  Crime"
"total  -  Drama  -  Croatia",302,"Croatia","total  -  Drama"
"total  -  Fantasy  -  Croatia",39,"Croatia","total  -  Fantasy"
"total  -  Mystery  -  Croatia",43,"Croatia","total  -  Mystery"
"total  -  Romance  -  Croatia",96,"Croatia","total  -  Romance"
"total  -  Thriller  -  Croatia",66,"Croatia","total  -  Thriller"
"total  -  Action  -  Cyprus",195,"Cyprus","total  -  Action"
"total  -  Adventure  -  Cyprus",126,"Cyprus","total  -  Adventure"
"total  -  Animation  -  Cyprus",47,"Cyprus","total  -  Animation"
"total  -  Comedy  -  Cyprus",190,"Cyprus","total  -  Comedy"
"total  -  Crime  -  Cyprus",131,"Cyprus","total  -  Crime"
"total  -  Drama  -  Cyprus",340,"Cyprus","total  -  Drama"
"total  -  Fantasy  -  Cyprus",44,"Cyprus","total  -  Fantasy"
"total  -  Mystery  -  Cyprus",49,"Cyprus","total  -  Mystery"
"total  -  Romance  -  Cyprus",91,"Cyprus","total  -  Romance"
"total  -  Thriller  -  Cyprus",59,"Cyprus","total  -  Thriller"
"total  -  Action  -  Czech Republic",191,"Czech Republic","total  -  Action"
"total  -  Adventure  -  Czech Republic",150,"Czech Republic","total  -  Adventure"
"total  -  Animation  -  Czech Republic",83,"Czech Republic","total  -  Animation"
"total  -  Comedy  -  Czech Republic",188,"Czech Republic","total  -  Comedy"
"total  -  Crime  -  Czech Republic",128,"Czech Republic","total  -  Crime"
"total  -  Drama  -  Czech Republic",300,"Czech Republic","total  -  Drama"
"total  -  Fantasy  -  Czech Republic",60,"Czech Republic","total  -  Fantasy"
"total  -  Mystery  -  Czech Republic",50,"Czech Republic","total  -  Mystery"
"total  -  Romance  -  Czech Republic",81,"Czech Republic","total  -  Romance"
"total  -  Thriller  -  Czech Republic",48,"Czech Republic","total  -  Thriller"
"total  -  Action  -  Denmark",183,"Denmark","total  -  Action"
"total  -  Adventure  -  Denmark",121,"Denmark","total  -  Adventure"
"total  -  Animation  -  Denmark",56,"Denmark","total  -  Animation"
"total  -  Comedy  -  Denmark",179,"Denmark","total  -  Comedy"
"total  -  Crime  -  Denmark",154,"Denmark","total  -  Crime"
"total  -  Drama  -  Denmark",318,"Denmark","total  -  Drama"
"total  -  Fantasy  -  Denmark",54,"Denmark","total  -  Fantasy"
"total  -  Mystery  -  Denmark",54,"Denmark","total  -  Mystery"
"total  -  Romance  -  Denmark",79,"Denmark","total  -  Romance"
"total  -  Thriller  -  Denmark",65,"Denmark","total  -  Thriller"
"total  -  Action  -  Dominican Republic",173,"Dominican Republic","total  -  Action"
"total  -  Adventure  -  Dominican Republic",108,"Dominican Republic","total  -  Adventure"
"total  -  Animation  -  Dominican Republic",51,"Dominican Republic","total  -  Animation"
"total  -  Comedy  -  Dominican Republic",157,"Dominican Republic","total  -  Comedy"
"total  -  Crime  -  Dominican Republic",123,"Dominican Republic","total  -  Crime"
"total  -  Drama  -  Dominican Republic",277,"Dominican Republic","total  -  Drama"
"total  -  Fantasy  -  Dominican Republic",45,"Dominican Republic","total  -  Fantasy"
"total  -  Mystery  -  Dominican Republic",38,"Dominican Republic","total  -  Mystery"
"total  -  Romance  -  Dominican Republic",79,"Dominican Republic","total  -  Romance"
"total  -  Thriller  -  Dominican Republic",76,"Dominican Republic","total  -  Thriller"
"total  -  Action  -  Ecuador",145,"Ecuador","total  -  Action"
"total  -  Adventure  -  Ecuador",120,"Ecuador","total  -  Adventure"
"total  -  Animation  -  Ecuador",70,"Ecuador","total  -  Animation"
"total  -  Comedy  -  Ecuador",206,"Ecuador","total  -  Comedy"
"total  -  Crime  -  Ecuador",91,"Ecuador","total  -  Crime"
"total  -  Drama  -  Ecuador",262,"Ecuador","total  -  Drama"
"total  -  Fantasy  -  Ecuador",38,"Ecuador","total  -  Fantasy"
"total  -  Mystery  -  Ecuador",35,"Ecuador","total  -  Mystery"
"total  -  Romance  -  Ecuador",105,"Ecuador","total  -  Romance"
"total  -  Thriller  -  Ecuador",71,"Ecuador","total  -  Thriller"
"total  -  Action  -  Egypt",189,"Egypt","total  -  Action"
"total  -  Adventure  -  Egypt",112,"Egypt","total  -  Adventure"
"total  -  Comedy  -  Egypt",186,"Egypt","total  -  Comedy"
"total  -  Crime  -  Egypt",121,"Egypt","total  -  Crime"
"total  -  Drama  -  Egypt",342,"Egypt","total  -  Drama"
"total  -  Fantasy  -  Egypt",51,"Egypt","total  -  Fantasy"
"total  -  Horror  -  Egypt",35,"Egypt","total  -  Horror"
"total  -  Mystery  -  Egypt",48,"Egypt","total  -  Mystery"
"total  -  Romance  -  Egypt",86,"Egypt","total  -  Romance"
"total  -  Thriller  -  Egypt",73,"Egypt","total  -  Thriller"
"total  -  Action  -  El Salvador",134,"El Salvador","total  -  Action"
"total  -  Adventure  -  El Salvador",108,"El Salvador","total  -  Adventure"
"total  -  Animation  -  El Salvador",65,"El Salvador","total  -  Animation"
"total  -  Comedy  -  El Salvador",196,"El Salvador","total  -  Comedy"
"total  -  Crime  -  El Salvador",106,"El Salvador","total  -  Crime"
"total  -  Drama  -  El Salvador",280,"El Salvador","total  -  Drama"
"total  -  Fantasy  -  El Salvador",39,"El Salvador","total  -  Fantasy"
"total  -  Mystery  -  El Salvador",36,"El Salvador","total  -  Mystery"
"total  -  Romance  -  El Salvador",108,"El Salvador","total  -  Romance"
"total  -  Thriller  -  El Salvador",70,"El Salvador","total  -  Thriller"
"total  -  Action  -  Estonia",183,"Estonia","total  -  Action"
"total  -  Adventure  -  Estonia",129,"Estonia","total  -  Adventure"
"total  -  Animation  -  Estonia",52,"Estonia","total  -  Animation"
"total  -  Comedy  -  Estonia",208,"Estonia","total  -  Comedy"
"total  -  Crime  -  Estonia",123,"Estonia","total  -  Crime"
"total  -  Drama  -  Estonia",286,"Estonia","total  -  Drama"
"total  -  Fantasy  -  Estonia",61,"Estonia","total  -  Fantasy"
"total  -  Mystery  -  Estonia",55,"Estonia","total  -  Mystery"
"total  -  Romance  -  Estonia",77,"Estonia","total  -  Romance"
"total  -  Sci Fi  -  Estonia",61,"Estonia","total  -  Sci Fi"
"total  -  Action  -  Finland",198,"Finland","total  -  Action"
"total  -  Adventure  -  Finland",116,"Finland","total  -  Adventure"
"total  -  Animation  -  Finland",56,"Finland","total  -  Animation"
"total  -  Comedy  -  Finland",173,"Finland","total  -  Comedy"
"total  -  Crime  -  Finland",158,"Finland","total  -  Crime"
"total  -  Drama  -  Finland",342,"Finland","total  -  Drama"
"total  -  Fantasy  -  Finland",49,"Finland","total  -  Fantasy"
"total  -  Mystery  -  Finland",54,"Finland","total  -  Mystery"
"total  -  Romance  -  Finland",77,"Finland","total  -  Romance"
"total  -  Thriller  -  Finland",63,"Finland","total  -  Thriller"
"total  -  Action  -  France",203,"France","total  -  Action"
"total  -  Adventure  -  France",138,"France","total  -  Adventure"
"total  -  Animation  -  France",52,"France","total  -  Animation"
"total  -  Comedy  -  France",166,"France","total  -  Comedy"
"total  -  Crime  -  France",161,"France","total  -  Crime"
"total  -  Drama  -  France",333,"France","total  -  Drama"
"total  -  Fantasy  -  France",70,"France","total  -  Fantasy"
"total  -  Romance  -  France",73,"France","total  -  Romance"
"total  -  Sci Fi  -  France",55,"France","total  -  Sci Fi"
"total  -  Thriller  -  France",80,"France","total  -  Thriller"
"total  -  Action  -  Germany",199,"Germany","total  -  Action"
"total  -  Adventure  -  Germany",167,"Germany","total  -  Adventure"
"total  -  Comedy  -  Germany",181,"Germany","total  -  Comedy"
"total  -  Crime  -  Germany",155,"Germany","total  -  Crime"
"total  -  Drama  -  Germany",306,"Germany","total  -  Drama"
"total  -  Family  -  Germany",57,"Germany","total  -  Family"
"total  -  Fantasy  -  Germany",77,"Germany","total  -  Fantasy"
"total  -  Mystery  -  Germany",52,"Germany","total  -  Mystery"
"total  -  Romance  -  Germany",73,"Germany","total  -  Romance"
"total  -  Thriller  -  Germany",80,"Germany","total  -  Thriller"
"total  -  Action  -  Greece",182,"Greece","total  -  Action"
"total  -  Adventure  -  Greece",123,"Greece","total  -  Adventure"
"total  -  Animation  -  Greece",49,"Greece","total  -  Animation"
"total  -  Comedy  -  Greece",170,"Greece","total  -  Comedy"
"total  -  Crime  -  Greece",147,"Greece","total  -  Crime"
"total  -  Drama  -  Greece",341,"Greece","total  -  Drama"
"total  -  Fantasy  -  Greece",61,"Greece","total  -  Fantasy"
"total  -  Mystery  -  Greece",55,"Greece","total  -  Mystery"
"total  -  Romance  -  Greece",86,"Greece","total  -  Romance"
"total  -  Thriller  -  Greece",53,"Greece","total  -  Thriller"
"total  -  Action  -  Guadeloupe",216,"Guadeloupe","total  -  Action"
"total  -  Adventure  -  Guadeloupe",121,"Guadeloupe","total  -  Adventure"
"total  -  Animation  -  Guadeloupe",47,"Guadeloupe","total  -  Animation"
"total  -  Comedy  -  Guadeloupe",152,"Guadeloupe","total  -  Comedy"
"total  -  Crime  -  Guadeloupe",158,"Guadeloupe","total  -  Crime"
"total  -  Drama  -  Guadeloupe",315,"Guadeloupe","total  -  Drama"
"total  -  Fantasy  -  Guadeloupe",57,"Guadeloupe","total  -  Fantasy"
"total  -  Romance  -  Guadeloupe",69,"Guadeloupe","total  -  Romance"
"total  -  Sci Fi  -  Guadeloupe",45,"Guadeloupe","total  -  Sci Fi"
"total  -  Thriller  -  Guadeloupe",76,"Guadeloupe","total  -  Thriller"
"total  -  Action  -  Guatemala",117,"Guatemala","total  -  Action"
"total  -  Adventure  -  Guatemala",105,"Guatemala","total  -  Adventure"
"total  -  Animation  -  Guatemala",64,"Guatemala","total  -  Animation"
"total  -  Comedy  -  Guatemala",208,"Guatemala","total  -  Comedy"
"total  -  Crime  -  Guatemala",99,"Guatemala","total  -  Crime"
"total  -  Drama  -  Guatemala",292,"Guatemala","total  -  Drama"
"total  -  Fantasy  -  Guatemala",37,"Guatemala","total  -  Fantasy"
"total  -  Mystery  -  Guatemala",40,"Guatemala","total  -  Mystery"
"total  -  Romance  -  Guatemala",115,"Guatemala","total  -  Romance"
"total  -  Thriller  -  Guatemala",67,"Guatemala","total  -  Thriller"
"total  -  Action  -  Honduras",130,"Honduras","total  -  Action"
"total  -  Adventure  -  Honduras",92,"Honduras","total  -  Adventure"
"total  -  Animation  -  Honduras",47,"Honduras","total  -  Animation"
"total  -  Comedy  -  Honduras",197,"Honduras","total  -  Comedy"
"total  -  Crime  -  Honduras",109,"Honduras","total  -  Crime"
"total  -  Drama  -  Honduras",298,"Honduras","total  -  Drama"
"total  -  Fantasy  -  Honduras",36,"Honduras","total  -  Fantasy"
"total  -  Mystery  -  Honduras",41,"Honduras","total  -  Mystery"
"total  -  Romance  -  Honduras",120,"Honduras","total  -  Romance"
"total  -  Thriller  -  Honduras",74,"Honduras","total  -  Thriller"
"total  -  Action  -  Hong Kong",238,"Hong Kong","total  -  Action"
"total  -  Adventure  -  Hong Kong",118,"Hong Kong","total  -  Adventure"
"total  -  Comedy  -  Hong Kong",142,"Hong Kong","total  -  Comedy"
"total  -  Crime  -  Hong Kong",120,"Hong Kong","total  -  Crime"
"total  -  Drama  -  Hong Kong",344,"Hong Kong","total  -  Drama"
"total  -  Fantasy  -  Hong Kong",65,"Hong Kong","total  -  Fantasy"
"total  -  Mystery  -  Hong Kong",72,"Hong Kong","total  -  Mystery"
"total  -  Romance  -  Hong Kong",120,"Hong Kong","total  -  Romance"
"total  -  Sci Fi  -  Hong Kong",65,"Hong Kong","total  -  Sci Fi"
"total  -  Thriller  -  Hong Kong",83,"Hong Kong","total  -  Thriller"
"total  -  Action  -  Hungary",184,"Hungary","total  -  Action"
"total  -  Adventure  -  Hungary",125,"Hungary","total  -  Adventure"
"total  -  Animation  -  Hungary",67,"Hungary","total  -  Animation"
"total  -  Comedy  -  Hungary",197,"Hungary","total  -  Comedy"
