"id","n","label","parent"
"total  -  Thriller  -  South Korea",95,"South Korea","total  -  Thriller"
"total  -  Action  -  Spain",170,"Spain","total  -  Action"
"total  -  Adventure  -  Spain",105,"Spain","total  -  Adventure"
"total  -  Comedy  -  Spain",176,"Spain","total  -  Comedy"
"total  -  Crime  -  Spain",130,"Spain","total  -  Crime"
"total  -  Drama  -  Spain",322,"Spain","total  -  Drama"
"total  -  Fantasy  -  Spain",43,"Spain","total  -  Fantasy"
"total  -  Horror  -  Spain",33,"Spain","total  -  Horror"
"total  -  Mystery  -  Spain",46,"Spain","total  -  Mystery"
"total  -  Romance  -  Spain",123,"Spain","total  -  Romance"
"total  -  Thriller  -  Spain",63,"Spain","total  -  Thriller"
"total  -  Action  -  Sri Lanka",185,"Sri Lanka","total  -  Action"
"total  -  Adventure  -  Sri Lanka",82,"Sri Lanka","total  -  Adventure"
"total  -  Comedy  -  Sri Lanka",173,"Sri Lanka","total  -  Comedy"
"total  -  Crime  -  Sri Lanka",138,"Sri Lanka","total  -  Crime"
"total  -  Drama  -  Sri Lanka",364,"Sri Lanka","total  -  Drama"
"total  -  Fantasy  -  Sri Lanka",43,"Sri Lanka","total  -  Fantasy"
"total  -  Mystery  -  Sri Lanka",76,"Sri Lanka","total  -  Mystery"
"total  -  Romance  -  Sri Lanka",112,"Sri Lanka","total  -  Romance"
"total  -  Sci Fi  -  Sri Lanka",41,"Sri Lanka","total  -  Sci Fi"
"total  -  Thriller  -  Sri Lanka",68,"Sri Lanka","total  -  Thriller"
"total  -  Action  -  Sweden",184,"Sweden","total  -  Action"
"total  -  Adventure  -  Sweden",130,"Sweden","total  -  Adventure"
"total  -  Animation  -  Sweden",58,"Sweden","total  -  Animation"
"total  -  Comedy  -  Sweden",168,"Sweden","total  -  Comedy"
"total  -  Crime  -  Sweden",143,"Sweden","total  -  Crime"
"total  -  Drama  -  Sweden",339,"Sweden","total  -  Drama"
"total  -  Fantasy  -  Sweden",57,"Sweden","total  -  Fantasy"
"total  -  Mystery  -  Sweden",53,"Sweden","total  -  Mystery"
"total  -  Romance  -  Sweden",81,"Sweden","total  -  Romance"
"total  -  Thriller  -  Sweden",60,"Sweden","total  -  Thriller"
"total  -  Action  -  Switzerland",186,"Switzerland","total  -  Action"
"total  -  Adventure  -  Switzerland",130,"Switzerland","total  -  Adventure"
"total  -  Comedy  -  Switzerland",186,"Switzerland","total  -  Comedy"
"total  -  Crime  -  Switzerland",164,"Switzerland","total  -  Crime"
"total  -  Drama  -  Switzerland",329,"Switzerland","total  -  Drama"
"total  -  Family  -  Switzerland",44,"Switzerland","total  -  Family"
"total  -  Fantasy  -  Switzerland",65,"Switzerland","total  -  Fantasy"
"total  -  Mystery  -  Switzerland",54,"Switzerland","total  -  Mystery"
"total  -  Romance  -  Switzerland",90,"Switzerland","total  -  Romance"
"total  -  Thriller  -  Switzerland",66,"Switzerland","total  -  Thriller"
"total  -  Action  -  Taiwan",197,"Taiwan","total  -  Action"
"total  -  Adventure  -  Taiwan",97,"Taiwan","total  -  Adventure"
"total  -  Comedy  -  Taiwan",158,"Taiwan","total  -  Comedy"
"total  -  Crime  -  Taiwan",107,"Taiwan","total  -  Crime"
"total  -  Drama  -  Taiwan",368,"Taiwan","total  -  Drama"
"total  -  Fantasy  -  Taiwan",62,"Taiwan","total  -  Fantasy"
"total  -  Mystery  -  Taiwan",81,"Taiwan","total  -  Mystery"
"total  -  Romance  -  Taiwan",152,"Taiwan","total  -  Romance"
"total  -  Sci Fi  -  Taiwan",40,"Taiwan","total  -  Sci Fi"
"total  -  Thriller  -  Taiwan",67,"Taiwan","total  -  Thriller"
"total  -  Action  -  Thailand",211,"Thailand","total  -  Action"
"total  -  Adventure  -  Thailand",155,"Thailand","total  -  Adventure"
"total  -  Animation  -  Thailand",47,"Thailand","total  -  Animation"
"total  -  Comedy  -  Thailand",201,"Thailand","total  -  Comedy"
"total  -  Crime  -  Thailand",109,"Thailand","total  -  Crime"
"total  -  Drama  -  Thailand",277,"Thailand","total  -  Drama"
"total  -  Fantasy  -  Thailand",68,"Thailand","total  -  Fantasy"
"total  -  Mystery  -  Thailand",58,"Thailand","total  -  Mystery"
"total  -  Romance  -  Thailand",133,"Thailand","total  -  Romance"
"total  -  Sci Fi  -  Thailand",47,"Thailand","total  -  Sci Fi"
"total  -  Thriller  -  Thailand",81,"Thailand","total  -  Thriller"
"total  -  Action  -  Trinidad and Tobago",191,"Trinidad and Tobago","total  -  Action"
"total  -  Adventure  -  Trinidad and Tobago",114,"Trinidad and Tobago","total  -  Adventure"
"total  -  Animation  -  Trinidad and Tobago",58,"Trinidad and Tobago","total  -  Animation"
"total  -  Comedy  -  Trinidad and Tobago",173,"Trinidad and Tobago","total  -  Comedy"
"total  -  Crime  -  Trinidad and Tobago",149,"Trinidad and Tobago","total  -  Crime"
"total  -  Drama  -  Trinidad and Tobago",304,"Trinidad and Tobago","total  -  Drama"
"total  -  Fantasy  -  Trinidad and Tobago",49,"Trinidad and Tobago","total  -  Fantasy"
"total  -  Mystery  -  Trinidad and Tobago",42,"Trinidad and Tobago","total  -  Mystery"
"total  -  Romance  -  Trinidad and Tobago",82,"Trinidad and Tobago","total  -  Romance"
"total  -  Thriller  -  Trinidad and Tobago",99,"Trinidad and Tobago","total  -  Thriller"
"total  -  Action  -  Turkey",207,"Turkey","total  -  Action"
"total  -  Adventure  -  Turkey",110,"Turkey","total  -  Adventure"
"total  -  Comedy  -  Turkey",152,"Turkey","total  -  Comedy"
"total  -  Crime  -  Turkey",145,"Turkey","total  -  Crime"
"total  -  Drama  -  Turkey",366,"Turkey","total  -  Drama"
"total  -  Fantasy  -  Turkey",79,"Turkey","total  -  Fantasy"
"total  -  Horror  -  Turkey",43,"Turkey","total  -  Horror"
"total  -  Mystery  -  Turkey",62,"Turkey","total  -  Mystery"
"total  -  Romance  -  Turkey",107,"Turkey","total  -  Romance"
"total  -  Thriller  -  Turkey",83,"Turkey","total  -  Thriller"
"total  -  Action  -  Ukraine",220,"Ukraine","total  -  Action"
"total  -  Adventure  -  Ukraine",141,"Ukraine","total  -  Adventure"
"total  -  Animation  -  Ukraine",67,"Ukraine","total  -  Animation"
"total  -  Comedy  -  Ukraine",195,"Ukraine","total  -  Comedy"
"total  -  Crime  -  Ukraine",165,"Ukraine","total  -  Crime"
"total  -  Drama  -  Ukraine",334,"Ukraine","total  -  Drama"
"total  -  Fantasy  -  Ukraine",44,"Ukraine","total  -  Fantasy"
"total  -  Mystery  -  Ukraine",43,"Ukraine","total  -  Mystery"
"total  -  Romance  -  Ukraine",79,"Ukraine","total  -  Romance"
"total  -  Thriller  -  Ukraine",69,"Ukraine","total  -  Thriller"
"total  -  Action  -  United Arab Emirates",202,"United Arab Emirates","total  -  Action"
"total  -  Adventure  -  United Arab Emirates",124,"United Arab Emirates","total  -  Adventure"
"total  -  Animation  -  United Arab Emirates",35,"United Arab Emirates","total  -  Animation"
"total  -  Comedy  -  United Arab Emirates",168,"United Arab Emirates","total  -  Comedy"
"total  -  Crime  -  United Arab Emirates",134,"United Arab Emirates","total  -  Crime"
"total  -  Drama  -  United Arab Emirates",343,"United Arab Emirates","total  -  Drama"
"total  -  Fantasy  -  United Arab Emirates",59,"United Arab Emirates","total  -  Fantasy"
"total  -  Mystery  -  United Arab Emirates",46,"United Arab Emirates","total  -  Mystery"
"total  -  Romance  -  United Arab Emirates",106,"United Arab Emirates","total  -  Romance"
"total  -  Thriller  -  United Arab Emirates",75,"United Arab Emirates","total  -  Thriller"
"total  -  Action  -  United Kingdom",169,"United Kingdom","total  -  Action"
"total  -  Adventure  -  United Kingdom",144,"United Kingdom","total  -  Adventure"
"total  -  Animation  -  United Kingdom",59,"United Kingdom","total  -  Animation"
"total  -  Comedy  -  United Kingdom",216,"United Kingdom","total  -  Comedy"
"total  -  Crime  -  United Kingdom",108,"United Kingdom","total  -  Crime"
"total  -  Drama  -  United Kingdom",285,"United Kingdom","total  -  Drama"
"total  -  Fantasy  -  United Kingdom",48,"United Kingdom","total  -  Fantasy"
"total  -  Mystery  -  United Kingdom",40,"United Kingdom","total  -  Mystery"
"total  -  Romance  -  United Kingdom",78,"United Kingdom","total  -  Romance"
"total  -  Thriller  -  United Kingdom",62,"United Kingdom","total  -  Thriller"
"total  -  Action  -  United States",149,"United States","total  -  Action"
"total  -  Adventure  -  United States",113,"United States","total  -  Adventure"
"total  -  Animation  -  United States",51,"United States","total  -  Animation"
"total  -  Comedy  -  United States",166,"United States","total  -  Comedy"
"total  -  Crime  -  United States",105,"United States","total  -  Crime"
"total  -  Drama  -  United States",281,"United States","total  -  Drama"
"total  -  Fantasy  -  United States",39,"United States","total  -  Fantasy"
"total  -  Mystery  -  United States",55,"United States","total  -  Mystery"
"total  -  Romance  -  United States",62,"United States","total  -  Romance"
"total  -  Thriller  -  United States",57,"United States","total  -  Thriller"
"total  -  Action  -  Uruguay",131,"Uruguay","total  -  Action"
"total  -  Adventure  -  Uruguay",105,"Uruguay","total  -  Adventure"
"total  -  Animation  -  Uruguay",49,"Uruguay","total  -  Animation"
"total  -  Comedy  -  Uruguay",171,"Uruguay","total  -  Comedy"
"total  -  Crime  -  Uruguay",153,"Uruguay","total  -  Crime"
"total  -  Drama  -  Uruguay",368,"Uruguay","total  -  Drama"
"total  -  Music  -  Uruguay",35,"Uruguay","total  -  Music"
"total  -  Mystery  -  Uruguay",55,"Uruguay","total  -  Mystery"
"total  -  Romance  -  Uruguay",87,"Uruguay","total  -  Romance"
"total  -  Thriller  -  Uruguay",90,"Uruguay","total  -  Thriller"
"total  -  Action  -  Venezuela",131,"Venezuela","total  -  Action"
"total  -  Adventure  -  Venezuela",81,"Venezuela","total  -  Adventure"
"total  -  Animation  -  Venezuela",39,"Venezuela","total  -  Animation"
"total  -  Comedy  -  Venezuela",180,"Venezuela","total  -  Comedy"
"total  -  Crime  -  Venezuela",121,"Venezuela","total  -  Crime"
"total  -  Drama  -  Venezuela",316,"Venezuela","total  -  Drama"
"total  -  Fantasy  -  Venezuela",32,"Venezuela","total  -  Fantasy"
"total  -  Mystery  -  Venezuela",41,"Venezuela","total  -  Mystery"
"total  -  Romance  -  Venezuela",121,"Venezuela","total  -  Romance"
"total  -  Thriller  -  Venezuela",89,"Venezuela","total  -  Thriller"
"total  -  Action  -  Vietnam",240,"Vietnam","total  -  Action"
"total  -  Adventure  -  Vietnam",141,"Vietnam","total  -  Adventure"
"total  -  Comedy  -  Vietnam",238,"Vietnam","total  -  Comedy"
"total  -  Crime  -  Vietnam",125,"Vietnam","total  -  Crime"
"total  -  Drama  -  Vietnam",351,"Vietnam","total  -  Drama"
"total  -  Fantasy  -  Vietnam",72,"Vietnam","total  -  Fantasy"
"total  -  Mystery  -  Vietnam",62,"Vietnam","total  -  Mystery"
"total  -  Romance  -  Vietnam",122,"Vietnam","total  -  Romance"
"total  -  Sci Fi  -  Vietnam",49,"Vietnam","total  -  Sci Fi"
"total  -  Thriller  -  Vietnam",92,"Vietnam","total  -  Thriller"
