Preco,Tamanho,CEP,Tipo_Imovel,Status_Imovel,Status_Aluguel,Cidade
115000,37209,N8 7PG,Cobertura,Antigo,Alugado,Natal
145000,37168,CR0 9LQ,Cobertura,Antigo,Vazio,Fortaleza
73500,35459,UB3 4BG,Cobertura,Antigo,Vazio,Ipatinga
125000,35563,SE1 2BB,Apartamento,Novo,Alugado,Natal
175000,35640,SW17 7HP,Cobertura,Antigo,Vazio,Natal
104000,35475,SW6 2RX,Apartamento,Antigo,Alugado,Natal
250000,35608,EC1V 1JB,Apartamento,Antigo,Vazio,Natal
94000,35478,UB6 0SU,Cobertura,Antigo,Vazio,Canoas
80500,35516,CR0 9LQ,Cobertura,Antigo,Vazio,Fortaleza
133000,35556,NW5 2JD,Apartamento,Antigo,Alugado,Natal
78500,35657,RM7 8HH,Cobertura,Antigo,Vazio,Canoas
127000,35704,HA0 3SF,Casa sem Quintal,Antigo,Vazio,Canoas
78000,35611,CR0 9LQ,Cobertura,Antigo,Vazio,Fortaleza
429950,42433,N8 0QH,Apartamento,Antigo,Alugado,Natal
310400,42551,E14 9BE,Apartamento,Novo,Alugado,Natal
555000,42678,E16 1XD,Apartamento,Antigo,Alugado,Natal
384750,42593,SE10 0TX,Apartamento,Novo,Alugado,Natal
400000,42444,SW16 1NJ,Apartamento,Antigo,Alugado,Natal
450000,42444,SW16 1NJ,Apartamento,Antigo,Alugado,Natal
700000,43215,SW12 0HH,Apartamento,Antigo,Alugado,Natal
380000,43406,SW18 4PD,Apartamento,Antigo,Alugado,Natal
534995,43385,SE5 7FX,Apartamento,Novo,Alugado,Natal
750900,43452,SW11 7AJ,Apartamento,Novo,Alugado,Natal
697300,43279,SW11 7AH,Apartamento,Novo,Alugado,Natal
600000,43287,SW18 3QX,Apartamento,Antigo,Alugado,Natal
10000,43454,TW7 4PX,Outro,Antigo,Alugado,Brusque
10000,43447,E17 4NB,Outro,Antigo,Alugado,Natal
270000,43433,N17 0EY,Outro,Antigo,Alugado,Natal
34562,43115,N14 6DA,Outro,Antigo,Alugado,Natal
175000,43433,NW4 4RL,Apartamento,Antigo,Alugado,Natal
150000,43433,NW4 4RL,Outro,Antigo,Alugado,Natal
150000,43433,NW4 4RL,Outro,Antigo,Alugado,Natal
150000,43433,NW4 4RL,Outro,Antigo,Alugado,Natal
175000,43433,NW4 4RL,Apartamento,Antigo,Alugado,Natal
1875000,43385,SW1A 1RD,Apartamento,Antigo,Alugado,Natal
250000,43404,EN3 4SN,Apartamento,Antigo,Alugado,Salvador
352000,43188,E14 0BH,Apartamento,Antigo,Alugado,Natal
1997621,43356,NW3 6DH,Casa sem Quintal,Antigo,Vazio,Natal
1200000,43356,NW3 4LL,Outro,Antigo,Vazio,Natal
500000,42431,IG1 4AA,Outro,Antigo,Vazio,Rio de Janeiro
156000,42663,CR7 8NF,Outro,Antigo,Vazio,Palmas
389950,42389,N8 7PG,Apartamento,Antigo,Alugado,Natal
515000,42452,EC2A 4QS,Apartamento,Antigo,Alugado,Natal
280000,42458,E12 5PF,Apartamento,Antigo,Alugado,Natal
395000,42472,N8 7PG,Apartamento,Antigo,Alugado,Natal
247500,42562,UB6 0SU,Cobertura,Antigo,Vazio,Canoas
191500,42502,CR7 7BB,Apartamento,Antigo,Alugado,Palmas
520000,42706,N9 0AX,Cobertura,Antigo,Vazio,Natal
412000,42487,N8 7PG,Apartamento,Antigo,Alugado,Natal
855095,43356,NW3 4EH,Cobertura,Antigo,Vazio,Natal
30000,43454,KT6 4LW,Outro,Antigo,Alugado,Canoas
12000,43453,CR2 9BX,Outro,Antigo,Alugado,Osasco
292500,43424,SE8 3AJ,Apartamento,Antigo,Alugado,Natal
41500,43139,SE13 6UF,Outro,Antigo,Vazio,Natal
83425,43454,SE12 8JE,Outro,Antigo,Vazio,Natal
11250,43416,TW10 6AP,Outro,Antigo,Vazio,Osasco
